date,ratiocob,ratiotnt,tci2007,tii2007
1995-01-01,1.5583374513022497,1.7184280912542427,-0.25946541634530584,4.3244308683275
1995-04-01,0.3715990938252478,10.62926262956896,-0.6696387138676818,-4.196380227301766
1995-07-01,17.444390950613496,-9.876879295946884,-2.2225374584147195,3.598975909859492
1995-10-01,-6.289758161893754,-3.726940970877435,0.9470268654846903,-1.0717335235262082
1996-01-01,-11.157085318224524,5.391321332533883,-0.15536274895189273,-1.573648656729898
1996-04-01,-8.504349052525573,14.31582260575437,0.24322105839724717,0.6216468040586065
1996-07-01,-15.975958840832549,-10.285569284256146,0.46738304550348886,-6.5356961346857645
1996-10-01,19.033471034593763,-3.9376779664318184,3.034778299036378,4.0765258766923385
1997-01-01,-10.14137892828425,7.342610377283254,1.0183708277292203,4.676918208989789
1997-04-01,-3.2855496084318037,8.919552593486868,-0.6672934975256006,2.795011925528379
1997-07-01,2.623688409307867,-13.586560263672975,-2.019562170400002,2.3745246670476172
1997-10-01,-2.9920125254120578,-4.116079475797596,1.5798157375729316,-5.074646954222384
1998-01-01,-5.3753487721050375,8.762793729232987,0.6945870258148412,-0.8468976132917416
1998-04-01,-12.440859477319844,9.191332240380067,0.6670356578895253,2.4899659441119493
1998-07-01,5.883586094315985,-9.563263533937805,3.3129287475570868,-2.0113879491868714
1998-10-01,-8.978416739360773,6.1386632910296335,4.7182380915221644,-6.042280722492976
1999-01-01,-5.542253018425402,8.885527544139382,7.54259795699781,0.8323894087098882
1999-04-01,-13.529268081902913,11.973423079457145,-0.5334900129690734,-4.956368386080678
1999-07-01,30.931078105364328,-12.558866795262592,0.6642294378102376,1.413528280758758
1999-10-01,10.281181370752467,-4.4634686126023615,3.370506325563105,3.781607254552055
2000-01-01,-7.682995290188832,3.3220878705553236,-0.3466590062771502,-1.0215149749556396
2000-04-01,-19.457038229327427,14.539159746466023,0.6760195666754232,-2.8750572986901313
2000-07-01,13.356967396159192,-10.310396408322852,-0.5183340968354933,1.0640532716532203
2000-10-01,28.612973950202502,-1.334597008115057,0.6946586863805448,-2.672698168153076
2001-01-01,-21.925196849000827,2.843045757338758,0.5239413361168177,1.6057472806612516
2001-04-01,-4.5539567371016165,10.170875217446774,2.177626637918695,-0.8983287749484536
2001-07-01,20.235063209519733,-1.3526979704344244,-1.7469205802663756,0.6487135691312318
2001-10-01,17.0965761089505,-0.9382265352836705,-1.3310725834135284,2.1255396814054306
2002-01-01,-0.94724344459437,4.6278108957034325,1.5178785918166682,3.3709527893453606
2002-04-01,-5.511898655962366,4.373707423166784,-0.21516839802485643,1.966476810613016
2002-07-01,-7.163255656085676,-9.161376465036819,3.66706351557482,0.18342927027144018
2002-10-01,-0.13637346273913664,-2.1516763468762967,-0.5611998877223634,2.1367649103535724
2003-01-01,-5.855137732287186,1.750205755187162,-2.1423693607826144,-2.8020286047701792
2003-04-01,-5.87051573155758,11.48656034946507,-0.6110662618589058,-1.6714953908800956
2003-07-01,3.7140036206569915,-10.49336892061169,0.8500686503409627,5.001994960764367
2003-10-01,11.822268321844032,-2.0766700733920396,-0.7523737669028585,5.715551576465305
2004-01-01,23.32237713999954,5.512395291283401,-1.0485362640808016,7.631612992558812
2004-04-01,4.489119054392976,4.842849233900393,0.5328750692281892,1.6995213751795468
2004-07-01,1.5817522948805562,-8.097132993534117,-2.62225974130883,-4.536596067278021
2004-10-01,-0.6842007130123284,-0.7033583476468319,-2.351703235966074,3.22344798792924
2005-01-01,-5.869874440129852,4.322172001173663,-0.8985906243129671,1.2921307864487641
2005-04-01,-3.770531089102669,7.6281975688957004,0.4742185063336013,3.519810249817046
2005-07-01,6.407163559334195,-6.955987184211631,1.5817384995735706,0.3533665056089985
2005-10-01,26.88132421419884,-1.3937598327311562,4.012021608368133,5.111811377829589
2006-01-01,-14.060546350317571,-1.9401765008755678,-2.329429917535275,9.339309018610598
2006-04-01,22.674032512427765,10.534656900869344,-0.3990093933444405,15.138312033244317
2006-07-01,12.98445053911379,-11.40112610897177,-0.6269258019165558,2.3270221831304116
2006-10-01,-12.595586472963316,-4.5491250292329255,-1.397221142914229,1.6076601304081395
2007-01-01,-10.987576444703361,0.19701796455786624,-0.21110462548722397,-0.27835411561499823
2007-04-01,16.545580061587838,13.37792156670552,0.37176027868985884,5.992086663841811
2007-07-01,3.3745361213799674,-14.14187180631571,-1.5974859370430972,-4.9920435181229355
2007-10-01,1.1938026654971123,-0.8523242529048125,-5.064935477587507,-4.12163897815454
2008-01-01,-12.05738436030649,-0.16320831852847384,-4.077931408313851,0.6474874867190561
2008-04-01,12.32482569392439,14.934880191433187,-2.0591197231595304,-3.201415518780537
2008-07-01,-13.892596508894195,-14.567694649891905,2.466243264693846,-7.591743927383233
2008-10-01,-16.209955479282634,2.0665607359588334,2.033352933480126,-13.068485402836917
2009-01-01,-7.999283303315341,1.4155816075959393,1.9933550479577233,2.65858146071134
2009-04-01,17.959267700008642,15.462063226540002,-4.239893770545711,6.296125849299883
2009-07-01,5.260611015508587,-15.375876011390188,-1.2847542511887688,6.271501615136521
2009-10-01,14.71588763891094,-3.9762680881175516,-2.5192376803992333,10.387789408341085
2010-01-01,-4.184253050784292,1.5939333474941586,-1.3461154046766954,3.649739660435891
2010-04-01,6.361759891204488,9.683897751660808,-0.39459877669689725,3.199939034725152
2010-07-01,-5.52907250164748,-17.12169087836385,-1.9398531584878587,0.25768608940661686
2010-10-01,2.328897088431048,-2.4239706675709294,0.27137186489127885,6.134972434811514
2011-01-01,7.865629635663529,4.746284313625493,-0.6466120143745813,3.631866094199254
