crime,log_pibpc,pop_scales,edad_media,ratio_mh,urban,densidad,hab_dom
Sim,10.87609566690472,De 10.001 a 50.000,37.8,104.8,"(80,90]","(100,500]",2.88
Sim,10.248632075937225,De 50.001 a 100.000,38.1,104,"(80,90]","(50,100]",2.86
Sim,10.652364335003567,Mais de 100.000,38,106.4,"(97.5,100]","(500, Inf]",2.81
Sim,10.70569158388232,De 50.001 a 100.000,38.8,105.9,"(95,97.5]","(100,500]",2.81
Não,10.631473020897444,Até 10.000,36.8,97.9,"(95,97.5]","(-Inf,25]",2.8
Sim,10.124973731166685,De 10.001 a 50.000,38.6,105.7,"(90,95]","(25,50]",2.86
Sim,10.297470323535258,De 50.001 a 100.000,32.3,101.6,"(97.5,100]","(100,500]",2.97
Não,10.205868071618026,Até 10.000,39.5,103.2,"(90,95]","(25,50]",2.71
Sim,10.266197200962107,Mais de 100.000,38.2,105.8,"(95,97.5]","(100,500]",2.74
Sim,10.075070405292426,De 10.001 a 50.000,34.7,99.4,"(80,90]","(100,500]",3.06
Sim,10.00640012442296,De 10.001 a 50.000,35.4,100.4,"(90,95]","(-Inf,25]",2.9
Não,9.853328877382555,De 10.001 a 50.000,36.4,101.6,"(90,95]","(25,50]",2.97
Não,9.718283846336936,De 10.001 a 50.000,36.4,99.1,"(-Inf,80]","(-Inf,25]",2.82
Sim,10.861439286864925,De 50.001 a 100.000,35.2,99.9,"(90,95]","(100,500]",2.91
Sim,10.546479212251286,De 10.001 a 50.000,34.9,100.4,"(90,95]","(100,500]",2.87
Não,9.643292882794977,Até 10.000,31.7,98.8,"(-Inf,80]","(25,50]",3.19
Não,10.861033657008692,Até 10.000,37.7,92.6,"(-Inf,80]","(-Inf,25]",2.9
Sim,11.31422498291792,Até 10.000,35.9,97,"(90,95]","(25,50]",3.07
Não,10.197086585201815,De 10.001 a 50.000,38.7,98.9,"(90,95]","(25,50]",2.75
Não,10.033790113088136,Até 10.000,35,102.8,"(90,95]","(-Inf,25]",2.93
Sim,10.510917790691668,Mais de 100.000,37.3,105.8,"(95,97.5]","(50,100]",2.81
Sim,10.593841084491098,Mais de 100.000,36.9,103.9,"(97.5,100]","(100,500]",2.98
Não,9.786613228875908,Até 10.000,38.2,99.4,"(90,95]","(25,50]",2.88
Não,9.89119632391848,Até 10.000,37.8,96.9,"(80,90]","(25,50]",2.8
Sim,10.246532072879393,De 10.001 a 50.000,36.8,103.3,"(97.5,100]","(50,100]",2.95
Sim,10.58330326262717,De 10.001 a 50.000,36.4,101.8,"(80,90]","(-Inf,25]",2.91
Não,10.07016445068879,De 10.001 a 50.000,33.2,97.3,"(80,90]","(-Inf,25]",3.07
Sim,10.500188533265275,De 10.001 a 50.000,38.2,101,"(95,97.5]","(50,100]",2.72
Não,10.593483523245524,Até 10.000,38.7,96.7,"(80,90]","(-Inf,25]",2.67
Não,9.752388461870881,Até 10.000,36.7,98.1,"(80,90]","(-Inf,25]",2.77
Sim,11.60292054462204,De 50.001 a 100.000,33.6,99.1,"(80,90]","(100,500]",3.05
Sim,10.705297415594714,De 50.001 a 100.000,36.7,102.6,"(80,90]","(100,500]",3.06
Sim,9.867763997191801,De 10.001 a 50.000,37.2,104.9,"(80,90]","(100,500]",2.98
Sim,9.969852841616664,De 10.001 a 50.000,37.5,101.3,"(-Inf,80]","(25,50]",2.94
Sim,10.293822440632463,De 10.001 a 50.000,37.8,103.2,"(90,95]","(-Inf,25]",2.85
Não,9.566473769305016,Até 10.000,38.6,95.1,"(80,90]","(-Inf,25]",2.66
Sim,10.582695532268403,Mais de 100.000,34.8,104.1,"(97.5,100]","(500, Inf]",3
Não,9.56292988188254,Até 10.000,38,93.8,"(-Inf,80]","(-Inf,25]",2.83
Sim,12.448107624810792,De 50.001 a 100.000,33,100.9,"(97.5,100]","(500, Inf]",2.92
Sim,10.784380924916503,De 10.001 a 50.000,33.9,98.8,"(-Inf,80]","(50,100]",2.98
Não,9.642758949644605,De 10.001 a 50.000,38.8,96.9,"(95,97.5]","(50,100]",2.76
Sim,10.064811017751138,De 10.001 a 50.000,35.8,100.8,"(80,90]","(25,50]",2.92
Não,9.910222322972233,Até 10.000,36.1,98.6,"(80,90]","(25,50]",2.77
Sim,10.940912144224066,Mais de 100.000,37.6,107.2,"(97.5,100]","(500, Inf]",2.81
Sim,10.173113846063313,De 50.001 a 100.000,35.5,104,"(97.5,100]","(500, Inf]",2.99
Não,10.182119546286144,De 50.001 a 100.000,34.8,105.7,"(97.5,100]","(100,500]",2.99
Não,10.383408405651357,Até 10.000,36.9,95.6,"(80,90]","(-Inf,25]",2.77
Sim,10.124445517194888,De 10.001 a 50.000,35.4,101,"(80,90]","(-Inf,25]",3.01
Sim,9.978189098490061,Até 10.000,33.7,99.2,"(95,97.5]","(50,100]",3.23
Sim,10.653197233303647,De 10.001 a 50.000,38.4,104.4,"(95,97.5]","(50,100]",2.79
Não,10.587322256270765,Até 10.000,41.4,104.9,"(80,90]","(25,50]",2.82
Não,10.268894957312437,Até 10.000,32.8,98.5,"(95,97.5]","(50,100]",3.2
Não,9.922293114300182,De 10.001 a 50.000,35.2,101.4,"(80,90]","(25,50]",3.04
Sim,9.640273026698866,De 10.001 a 50.000,34.4,95.5,"(80,90]","(100,500]",2.99
